,name,equake_near,material type,age of bridge,bridge type,magnitude,d to epicenter in miles,damaged,Damage level
218,"Tennoh Bridge, 1959",East Coast of Honshu,1,15,1,4.7,41.2,0,1
219,"Sendai-Tobu Interchange, 1994","2011, Tohoku",1,17,1,9.1,75.9,1,2
220,"Sendai-Tobu Interchange, 1994",East Coast of Honshu,1,10,1,4.6,4.9,0,1
221,"Sendai-Tobu Interchange, 1994",Eastern Honshu,1,9,1,6.1,10.5,0,1
222,"Sendai-Tobu Interchange, 1994",East Coast of Honshu,1,9,1,5.5,11.7,0,1
223,"Sendai-Tobu Interchange, 1994",East Coast of Honshu,1,13,1,4.2,12.8,0,1
224,"Sendai-Tobu Interchange, 1994",East Coast of Honshu,1,9,1,5.3,15.2,0,1
225,"Sendai-Tobu Interchange, 1994",East Coast of Honshu,1,9,1,5.1,17.5,0,1
226,"Sendai-Tobu Interchange, 1994",East Coast of Honshu,1,8,1,4.5,26.8,0,1
227,"Sendai-Tobu Interchange, 1994",Eastern Honshu,1,12,1,4.4,19.2,0,1
228,"Sendai-Tobu Interchange, 1994",Eastern Honshu,1,4,1,5.1,25.8,0,1
229,"Sendai-Tobu Interchange, 1994",Eastern Honshu,1,11,1,5.1,39.2,0,1
230,"Sendai-Tobu Interchange, 1994",East Coast of Honshu,1,16,1,6.5,49.2,0,1
231,"Sendai-Tobu Interchange, 1994",East Coast of Honshu,1,17,1,7.3,102.0,0,1
232,"Sendai-Tobu Interchange, 1994",East Coast of Honshu,1,9,1,7.0,94.9,0,1
233,"Sendai-Tobu Interchange, 1994",East Coast of Honshu,1,14,1,7.0,83.7,0,1
234,"Abukuma Bridge (Route 6), 1920","1978, Miyagi",1,58,1,7.7,63.3,1,2
235,"Abukuma Bridge (Route 6), 1920",Eastern Honshu,1,54,1,4.3,2.5,0,1
236,"Abukuma Bridge (Route 6), 1920",East Coast of Honshu,1,55,1,5.1,20.9,0,1
237,"Abukuma Bridge (Route 6), 1920",Eastern Honshu,1,36,1,5.9,14.1,0,1
238,"Abukuma Bridge (Route 6), 1920",Eastern Honshu,1,54,1,5.3,26.4,0,1
239,"Abukuma Bridge (Route 6), 1920",East Coast of Honshu,1,22,1,6.5,58.6,0,1
240,"Abukuma Bridge (Route 6), 1920",East Coast of Honshu,1,7,1,7.0,80.1,0,1
241,"Abukuma Bridge (Route 6), 1920",East Coast of Honshu,1,18,1,7.7,92.0,0,1
242,"Abukuma Bridge (Route 6), 1920",East Coast of Honshu,1,16,1,7.2,76.9,0,1
243,"Abukuma Bridge (Route 6), 1920",East Coast of Honshu,1,38,1,6.1,76.6,0,1
244,"Abukuma Bridge (Route 6), 1920",East Coast of Honshu,1,33,1,6.2,84.0,0,1
245,"Abukuma Bridge (Route 6), 1920",East Coast of Honshu,1,50,1,6.4,90.6,0,1
246,"Abukuma Bridge (Route 6), 1920",East Coast of Honshu,1,17,1,6.6,56.3,0,1
247,"Abukuma Bridge (Route 6), 1920",East Coast of Honshu,1,53,1,4.5,26.6,0,1
248,"Abukuma Bridge (Route 6), 1920",East Coast of Honshu,1,54,1,4.4,45.7,0,1
