Name of the bridge,Earthquake,x1 = Material Type,x2 = Age (yr),x3 = Bridge Type,x4 = Earthquake Magnitude,x5 = Distance to epicenter (miles),y1 = Damaged or not?,y2 = Damage Level,,,,,,
"Miles Glacier Bridge, 1910",Southern Alaska,I,55,II,5.6,53.6,0,I,,,,,,
"Miles Glacier Bridge, 1910",Southern Alaska,I,63,II,3.6,54.2,0,I,,,,,,
"Miles Glacier Bridge, 1910",Southern Alaska,I,68,II,4.3,87.7,0,I,,,,,,
"Miles Glacier Bridge, 1910",Southern Alaska,I,64,II,4.7,57.2,0,I,,,,,,
"Nishinomiyako Bridge, 1994","1995, Kobe",I,1,IV,6.9,17.7,1,III,,,,,,
"Nishinomiyako Bridge, 1994",Coast of Western Honshu,I,19,IV,4.4,18.3,0,I,,,,,,
"Nishinomiyako Bridge, 1994",Coast of Western Honshu,I,14,IV,4.2,7.9,0,I,,,,,,
"Nishinomiyako Bridge, 1994",Coast of Western Honshu,I,11,IV,3.9,7.9,0,I,,,,,,
"Nishinomiyako Bridge, 1994",6km WNW of Sumoto,I,19,IV,5.8,37.7,0,I,,,,,,
"Nishinomiyako Bridge, 1994",Coast of Western Honshu,I,3,IV,4.6,7.2,0,I,,,,,,
"Nishinomiyako Bridge, 1994",Western Honshu,I,13,IV,5.1,51.3,0,I,,,,,,
"Nishinomiyako Bridge, 1994",Western Honshu,I,6,IV,5.5,57.3,0,I,,,,,,
"Nishinomiyako Bridge, 1994",6km S of Sumoto,I,19,IV,4.1,38.7,0,I,,,,,,
"Nishinomiyako Bridge, 1994",2km E of Sumoto,I,20,IV,4.6,34.2,0,I,,,,,,
"Nishinomiyako Bridge, 1994",Coast of Western Honshu,I,4,IV,3.6,16.2,0,I,,,,,,
"Nishinomiyako Bridge, 1994",Coast of Western Honshu,I,9,IV,4.3,29.7,0,I,,,,,,
"Nishinomiyako Bridge, 1994",Coast of Western Honshu,I,16,IV,4.9,31.9,0,I,,,,,,
"Nishinomiyako Bridge, 1994",Coast of Western Honshu,I,11,IV,3.8,26,0,I,,,,,,
"Nishinomiyako Bridge, 1994",9km NNE of Himeji,I,19,IV,4.2,37,0,I,,,,,,
"Rokko Island Bridge, 1993","1995, Kobe",I,2,IV,6.9,13.9,1,II,,,,,,
"Rokko Island Bridge, 1993",1km NW of Hirakata,I,25,IV,5.5,22.5,0,I,,,,,,
"Rokko Island Bridge, 1993",3km ESE of Hirakata,I,21,IV,4,24.5,0,I,,,,,,
"Rokko Island Bridge, 1993",2km NNW of Neyagawa,I,25,IV,4.6,20.1,0,I,,,,,,
"Rokko Island Bridge, 1993",1km ENE of Neyagawa,I,25,IV,3.7,21.8,0,I,,,,,,
"Rokko Island Bridge, 1993",Coast of Western Honshu,I,15,IV,4.2,12.5,0,I,,,,,,
"Rokko Island Bridge, 1993",Coast of Western Honshu,I,13,IV,3.9,19.3,0,I,,,,,,
"Rokko Island Bridge, 1993",Coast of Western Honshu,I,1,IV,4.9,23.2,0,I,,,,,,
"Rokko Island Bridge, 1993",4km SSW of Kameoka,I,25,IV,3.8,24.5,0,I,,,,,,
"Rokko Island Bridge, 1993",4km W of Kameoka,I,21,IV,4.4,25.5,0,I,,,,,,
"Rokko Island Bridge, 1993",Western Honshu,I,10,IV,5.4,42.8,0,I,,,,,,
"Rokko Island Bridge, 1993",Western Honshu,I,6,IV,5.1,47,0,I,,,,,,
